phrase;count;source;seeds;regions;device;collected_at
груз;2279644;association;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
перевозка;1608064;association;"логистика | грузоперевозки";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
накладная;1307181;association;"электронная транспортная накладная";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
эдо;727563;association;"электронный документооборот в грузоперевозках";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
логистика;702431;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"транспортная компания";651904;association;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
грузоперевозки;441866;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
логист;174947;association;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"как называется приложение";160534;association;"программа для экспедитора";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"логистический центр";118917;association;"логистика | новости логистики";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
перевоз;115221;association;"логистика | грузоперевозки";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"контур логистика";112831;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"электронные транспортные накладные";111545;result;"электронная транспортная накладная";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
сэд;88358;association;"электронный документооборот в грузоперевозках";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"доставка грузов";79284;association;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"сбис эдо";70718;association;"электронный документооборот в грузоперевозках";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"атом грузоперевозки";57256;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"грузоперевозки ата";57240;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"ат грузоперевозки";57216;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"ати грузоперевозки";57198;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"приложение для скачивания приложений";56531;association;"программа для экспедитора";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"товарная накладная";53898;association;"электронная транспортная накладная";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"транспортные услуги";51189;association;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"операторы эдо";46902;association;"электронный документооборот в грузоперевозках";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"ооо логистик";38462;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"ооо логистиком";38442;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"эдо это";37985;association;"электронный документооборот в грузоперевозках";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"логистическая компания";36517;association;"логистика | грузоперевозки";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"электронные транспортные накладные 2026";35122;result;"электронная транспортная накладная";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
logistics;31025;association;"логистика | новости логистики";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"грузоперевозки газель";27536;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"перевозка вещей";25596;association;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"транспортный эдо";24659;association;"электронные перевозочные документы | электронный документооборот в грузоперевозках";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"накладная это";24090;association;"электронная транспортная накладная";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"логистика что это";23933;association;"грузоперевозки | программа для логиста | логист ру";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"транспортная логистика";23620;result,association;"логистика | грузоперевозки | логист ру";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"операционная логистика";23449;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"ип грузоперевозки";23362;result;грузоперевозки;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"вб логистика";23111;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"деятельность в логистике";22197;result;логистика;225;DEVICE_ALL;2026-08-16T22:28:34+03:00
"паспорт транспортного средства";21453;association;"электронные перевозочные документы";225;DEVICE_ALL;2026-08-16T22:28:34+03:00
