phrase;count;source;seeds;regions;device;collected_at
"сорм для экспедиторов";672;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм тэд";174;result;"сорм для экспедиторов | сорм тэд";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм для экспедиторов стоимость";43;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сколько стоит сорм для экспедитора";20;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм для экспедиторов цена";18;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"система сорм для экспедиторов";17;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм фсб для экспедиторов";15;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"программа сорм для экспедиторов";14;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм для экспедиторов купить";13;result;"сорм для экспедиторов";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм тэд для экспедиторов";10;result;"сорм для экспедиторов | сорм тэд";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
"сорм тэд стоимость";8;result;"сорм для экспедиторов | сорм тэд";225;DEVICE_ALL;2026-08-16T23:30:00+03:00
